metabolite_id	comparison	metadata	value	beta	standard_error	p_value	q_value	n_samples	method	direction	feature	coef	stderr	N	N.not.0	pval	qval	original_metabolite_id
HILp_QI6603	UC_vs_non_IBD	model_group	UC	-3.28681506876175	0.731958341576891	3.97827458205131e-5	0.0143168156521572	56	Maaslin2_LM_LOG	lower_in_case_group	HILp_QI6603	-3.28681506876175	0.731958341576891	56	56	3.97827458205131e-5	0.0143168156521572	HILp_QI6603
C18n_QI4291	UC_vs_non_IBD	model_group	UC	3.0278960068627	0.67525410832117	4.06461185714247e-5	0.0145841168113339	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI4291	3.0278960068627	0.67525410832117	56	56	4.06461185714247e-5	0.0145841168113339	C18n_QI4291
C18n_QI577	UC_vs_non_IBD	model_group	UC	-3.22733497224127	0.720105133731095	4.09669584209694e-5	0.0146195651147387	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI577	-3.22733497224127	0.720105133731095	56	56	4.09669584209694e-5	0.0146195651147387	C18n_QI577
HILn_QI52	UC_vs_non_IBD	model_group	UC	-1.22078900290707	0.272487998749542	4.11886119109899e-5	0.0146425614039068	56	Maaslin2_LM_LOG	lower_in_case_group	HILn_QI52	-1.22078900290707	0.272487998749542	56	56	4.11886119109899e-5	0.0146425614039068	HILn_QI52
HILp_QI885	UC_vs_non_IBD	model_group	UC	1.9074525940361	0.425827282516694	4.12933842664634e-5	0.0146425614039068	56	Maaslin2_LM_LOG	higher_in_case_group	HILp_QI885	1.9074525940361	0.425827282516694	56	56	4.12933842664634e-5	0.0146425614039068	HILp_QI885
C8p_QI6357	UC_vs_non_IBD	model_group	UC	-3.85950253258656	0.862153911118975	4.16886566329607e-5	0.0147394999495449	56	Maaslin2_LM_LOG	lower_in_case_group	C8p_QI6357	-3.85950253258656	0.862153911118975	56	56	4.16886566329607e-5	0.0147394999495449	C8p_QI6357
HILn_QI32972	UC_vs_non_IBD	model_group	UC	-2.27014311043698	0.507554031933509	4.22365694847854e-5	0.0148463997353526	56	Maaslin2_LM_LOG	lower_in_case_group	HILn_QI32972	-2.27014311043698	0.507554031933509	56	56	4.22365694847854e-5	0.0148463997353526	HILn_QI32972
C8p_QI7970	CD_vs_non_IBD	model_group	CD	4.12325917706633	0.764405409525682	8.5990858774806e-7	0.01485406094476	75	Maaslin2_LM_LOG	higher_in_case_group	C8p_QI7970	4.12325917706633	0.764405409525682	75	75	8.5990858774806e-7	0.01485406094476	C8p_QI7970
C18n_QI705	UC_vs_non_IBD	model_group	UC	4.49457031891907	1.00569226710637	4.27499236630239e-5	0.0149727732509488	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI705	4.49457031891907	1.00569226710637	56	56	4.27499236630239e-5	0.0149727732509488	C18n_QI705
C18n_QI2417	UC_vs_non_IBD	model_group	UC	-3.55938394241232	0.796553471952853	4.28437415837864e-5	0.0149727732509488	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI2417	-3.55938394241232	0.796553471952853	56	56	4.28437415837864e-5	0.0149727732509488	C18n_QI2417
HILn_QI3343	UC_vs_non_IBD	model_group	UC	5.7891285673957	1.29629059678722	4.32155101636796e-5	0.0150591730777286	56	Maaslin2_LM_LOG	higher_in_case_group	HILn_QI3343	5.7891285673957	1.29629059678722	56	56	4.32155101636796e-5	0.0150591730777286	HILn_QI3343
HILp_QI10603	UC_vs_non_IBD	model_group	UC	5.61647150000948	1.25822110589596	4.35225262826693e-5	0.0151225771064592	56	Maaslin2_LM_LOG	higher_in_case_group	HILp_QI10603	5.61647150000948	1.25822110589596	56	56	4.35225262826693e-5	0.0151225771064592	HILp_QI10603
C18n_QI8471	UC_vs_non_IBD	model_group	UC	3.26204542655297	0.731789592130095	4.44403321787058e-5	0.0153473286630018	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI8471	3.26204542655297	0.731789592130095	56	56	4.44403321787058e-5	0.0153473286630018	C18n_QI8471
HILn_QI2019	UC_vs_non_IBD	model_group	UC	7.08494942959736	1.58954370006872	4.45010719468979e-5	0.0153473286630018	56	Maaslin2_LM_LOG	higher_in_case_group	HILn_QI2019	7.08494942959736	1.58954370006872	56	56	4.45010719468979e-5	0.0153473286630018	HILn_QI2019
HILp_QI6268	UC_vs_non_IBD	model_group	UC	-2.74865185636386	0.616738276331573	4.45710651797765e-5	0.0153473286630018	56	Maaslin2_LM_LOG	lower_in_case_group	HILp_QI6268	-2.74865185636386	0.616738276331573	56	56	4.45710651797765e-5	0.0153473286630018	HILp_QI6268
HILn_QI1919	UC_vs_non_IBD	model_group	UC	4.71109947462667	1.05723647832219	4.46770513023423e-5	0.0153473286630018	56	Maaslin2_LM_LOG	higher_in_case_group	HILn_QI1919	4.71109947462667	1.05723647832219	56	56	4.46770513023423e-5	0.0153473286630018	HILn_QI1919
HILn_QI6790	IBD_vs_non_IBD	model_group	IBD	3.67530208007591	0.751949583452882	3.8477264547825e-6	0.015390855019724	105	Maaslin2_LM_LOG	higher_in_case_group	HILn_QI6790	3.67530208007591	0.751949583452882	105	105	3.8477264547825e-6	0.015390855019724	HILn_QI6790
